"Date","FromCurrencyId","ToCurrencyId","ToCurrencySysname","EuroRate"
2024-10-24,2,11,BRL,0.1626360
2024-10-24,2,12,PEN,0.2488000
2024-10-24,2,13,CLP,0.0009786
2024-10-24,2,14,INR,0.0110137
2024-10-24,2,15,NZD,0.5582226
2024-10-24,2,16,ALL,0.0094000
2024-10-24,2,17,COP,0.0002000
2024-10-23,2,1,USD,0.9287638
2024-10-23,2,2,EUR,1.0000000
2024-10-23,2,3,GBP,1.2026747
2024-10-23,2,4,JPY,0.0060731
2024-10-23,2,5,AUD,0.6160291
2024-10-23,2,6,MXN,0.0462717
2024-10-23,2,7,SEK,0.0876271
2024-10-23,2,8,NOK,0.0843704
2024-10-23,2,9,HUF,0.0024886
2024-10-23,2,10,CAD,0.6711409
2024-10-23,2,11,BRL,0.1623825
2024-10-23,2,12,PEN,0.2488000
2024-10-23,2,13,CLP,0.0009786
2024-10-23,2,14,INR,0.0110452
2024-10-23,2,15,NZD,0.5580980
2024-10-23,2,16,ALL,0.0094000
2024-10-23,2,17,COP,0.0002000
2024-10-22,2,1,USD,0.9241290
2024-10-22,2,2,EUR,1.0000000
2024-10-22,2,3,GBP,1.1999040
2024-10-22,2,4,JPY,0.0061267
2024-10-22,2,5,AUD,0.6181616
2024-10-22,2,6,MXN,0.0464680
2024-10-22,2,7,SEK,0.0877155
2024-10-22,2,8,NOK,0.0845809
2024-10-22,2,9,HUF,0.0024998
2024-10-22,2,10,CAD,0.6682705
2024-10-22,2,11,BRL,0.1622428
2024-10-22,2,12,PEN,0.2488000
2024-10-22,2,13,CLP,0.0009725
2024-10-22,2,14,INR,0.0109925
2024-10-22,2,15,NZD,0.5595971
2024-10-22,2,16,ALL,0.0094000
2024-10-22,2,17,COP,0.0002000
2024-10-21,2,1,USD,0.9214042
2024-10-21,2,2,EUR,1.0000000
2024-10-21,2,3,GBP,1.2002641
2024-10-21,2,4,JPY,0.0061429
2024-10-21,2,5,AUD,0.6161429
2024-10-21,2,6,MXN,0.0461811
2024-10-21,2,7,SEK,0.0875082
2024-10-21,2,8,NOK,0.0844737
2024-10-21,2,9,HUF,0.0024900
2024-10-21,2,10,CAD,0.6667556
2024-10-21,2,11,BRL,0.1614127
2024-10-21,2,12,PEN,0.2488000
2024-10-21,2,13,CLP,0.0009725
2024-10-21,2,14,INR,0.0109596
2024-10-21,2,15,NZD,0.5580357
2024-10-21,2,16,ALL,0.0094000
2024-10-21,2,17,COP,0.0002000
2024-10-20,2,1,USD,0.9219139
2024-10-20,2,2,EUR,1.0000000
2024-10-20,2,3,GBP,1.2024289
2024-10-20,2,4,JPY,0.0061444
2024-10-20,2,5,AUD,0.6186205
2024-10-20,2,6,MXN,0.0467124
2024-10-20,2,7,SEK,0.0875618
2024-10-20,2,8,NOK,0.0846633
2024-10-20,2,9,HUF,0.0024997
2024-10-20,2,10,CAD,0.6684492
2024-10-20,2,11,BRL,0.1630577
2024-10-20,2,12,PEN,0.2488000
2024-10-20,2,13,CLP,0.0009725
2024-10-20,2,14,INR,0.0109652
2024-10-20,2,15,NZD,0.5597537
2024-10-20,2,16,ALL,0.0094000
2024-10-20,2,17,COP,0.0002000
2024-10-19,2,1,USD,0.9219139
2024-10-19,2,2,EUR,1.0000000
2024-10-19,2,3,GBP,1.2024289
2024-10-19,2,4,JPY,0.0061444
2024-10-19,2,5,AUD,0.6186205
2024-10-19,2,6,MXN,0.0467124
2024-10-19,2,7,SEK,0.0875618
2024-10-19,2,8,NOK,0.0846633
2024-10-19,2,9,HUF,0.0024997
2024-10-19,2,10,CAD,0.6684492
2024-10-19,2,11,BRL,0.1630577
2024-10-19,2,12,PEN,0.2488000
2024-10-19,2,13,CLP,0.0009725
2024-10-19,2,14,INR,0.0109652
2024-10-19,2,15,NZD,0.5597537
2024-10-19,2,16,ALL,0.0094000
2024-10-19,2,17,COP,0.0002000
2024-10-18,2,1,USD,0.9219139
2024-10-18,2,2,EUR,1.0000000
2024-10-18,2,3,GBP,1.2024289
2024-10-18,2,4,JPY,0.0061444
2024-10-18,2,5,AUD,0.6186205
2024-10-18,2,6,MXN,0.0467124
2024-10-18,2,7,SEK,0.0875618
2024-10-18,2,8,NOK,0.0846633
2024-10-18,2,9,HUF,0.0024997
2024-10-18,2,10,CAD,0.6684492
2024-10-18,2,11,BRL,0.1630577
2024-10-18,2,12,PEN,0.2488000
2024-10-18,2,13,CLP,0.0009725
2024-10-18,2,14,INR,0.0109652
2024-10-18,2,15,NZD,0.5597537
2024-10-18,2,16,ALL,0.0094000
2024-10-18,2,17,COP,0.0002000
2024-10-17,2,1,USD,0.9203019
2024-10-17,2,2,EUR,1.0000000
2024-10-17,2,3,GBP,1.1982506
2024-10-17,2,4,JPY,0.0061538
2024-10-17,2,5,AUD,0.6162189
2024-10-17,2,6,MXN,0.0460543
2024-10-17,2,7,SEK,0.0875810
2024-10-17,2,8,NOK,0.0842212
2024-10-17,2,9,HUF,0.0025017
2024-10-17,2,10,CAD,0.6677796
2024-10-17,2,11,BRL,0.1619459
2024-10-17,2,12,PEN,0.2488000
2024-10-17,2,13,CLP,0.0009792
2024-10-17,2,14,INR,0.0109500
2024-10-17,2,15,NZD,0.5585656
2024-10-17,2,16,ALL,0.0094000
2024-10-17,2,17,COP,0.0002000
2024-10-16,2,1,USD,0.9176838
2024-10-16,2,2,EUR,1.0000000
2024-10-16,2,3,GBP,1.1961007
2024-10-16,2,4,JPY,0.0061512
2024-10-16,2,5,AUD,0.6138359
